invoice_id,product_id,product_category,units_sold,date,selling_price,customer_id,region,revenue,day,month,weekday,week,inventory_proxy
536742,22558,CLOTHES PEGS RETROSPOT PACK 24 ,2,02-12-2010 13:14,1.49,16916.0,United Kingdom,2.98,2,12,3,48,10.96960486
570648,11001,ASSTD DESIGN RACING CAR PEN,32,11-10-2011 13:09,1.69,16086.0,United Kingdom,54.08,11,10,1,41,17.15254237
574941,23352,ROLL WRAP 50'S RED CHRISTMAS ,17,07-11-2011 17:42,2.95,Unknown,United Kingdom,50.15,7,11,0,45,8.341176471
566204,85014B,RED RETROSPOT UMBRELLA,3,09-09-2011 14:58,5.95,14628.0,United Kingdom,17.85,9,9,4,36,6.398550725
556041,21987,PACK OF 6 SKULL PAPER CUPS,6,08-06-2011 12:44,0.65,17954.0,United Kingdom,3.9,8,6,2,23,11.12676056
569700,21015,DARK BIRD HOUSE TREE DECORATION,1,05-10-2011 15:56,0.83,Unknown,United Kingdom,0.83,5,10,2,40,8.738461538
574107,22593,CHRISTMAS GINGHAM STAR,12,03-11-2011 10:49,0.85,13728.0,United Kingdom,10.2,3,11,3,44,11.21052632
548909,47559B,TEA TIME OVEN GLOVE,10,05-04-2011 08:43,1.25,12779.0,Poland,12.5,5,4,1,14,7.046511628
536623,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,12,02-12-2010 10:39,1.25,15601.0,United Kingdom,15,2,12,3,48,10.47368421
538349,22442,GROW YOUR OWN FLOWERS SET OF 3,1,10-12-2010 14:59,16.13,Unknown,United Kingdom,16.13,10,12,4,49,5.102564103
570482,85099B,JUMBO BAG RED RETROSPOT,1,10-10-2011 17:00,2.08,17459.0,United Kingdom,2.08,10,10,0,41,24.14606742
552824,23202,JUMBO BAG VINTAGE LEAF,1,11-05-2011 13:16,2.08,14056.0,United Kingdom,2.08,11,5,2,19,11.56
537022,22809,SET OF 6 T-LIGHTS SANTA,6,03-12-2010 15:45,2.95,12725.0,Italy,17.7,3,12,4,48,6.053191489
562907,23126,FELTCRAFT GIRL AMELIE KIT,4,10-08-2011 12:44,4.95,14116.0,United Kingdom,19.8,10,8,2,32,3.328
570688,82482,WOODEN PICTURE FRAME WHITE FINISH,1,11-10-2011 16:29,5.79,Unknown,United Kingdom,5.79,11,10,1,41,8.054393305
548745,22759,SET OF 3 NOTEBOOKS IN PARCEL,12,04-04-2011 12:10,1.65,12471.0,Germany,19.8,4,4,0,14,14.4972973
558710,18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,1,01-07-2011 13:04,2.55,15483.0,United Kingdom,2.55,1,7,4,26,5.375
540566,22926,IVORY GIANT GARDEN THERMOMETER,1,10-01-2011 10:58,5.95,17811.0,United Kingdom,5.95,10,1,0,2,2.612244898
552467,37370,RETRO COFFEE MUGS ASSORTED,18,09-05-2011 15:29,1.25,15249.0,United Kingdom,22.5,9,5,0,19,15.41573034
549249,79190A,RETRO PLASTIC 70'S TRAY,15,07-04-2011 12:04,0.42,12423.0,Belgium,6.3,7,4,3,14,8.1875
563024,23045,PAPER LANTERN 5 POINT STAR MOON 30,2,11-08-2011 13:41,4.15,14639.0,United Kingdom,8.3,11,8,3,32,4.428571429
545658,21222,SET/4 BADGES BEETLES,15,04-03-2011 14:13,1.25,14670.0,United Kingdom,18.75,4,3,4,9,2.636363636
566195,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,24,09-09-2011 13:44,1.25,12433.0,Norway,30,9,9,4,36,49.376
537423,21743,STAR PORTABLE TABLE LIGHT ,12,06-12-2010 15:34,2.95,14215.0,United Kingdom,35.4,6,12,0,49,6.866666667
580647,84978,HANGING HEART JAR T-LIGHT HOLDER,6,05-12-2011 13:14,1.25,14083.0,United Kingdom,7.5,5,12,0,49,16.8557377
565840,22698,PINK REGENCY TEACUP AND SAUCER,1,07-09-2011 12:02,5.79,Unknown,United Kingdom,5.79,7,9,2,36,6.956268222
575846,21770,OPEN CLOSED METAL SIGN,1,11-11-2011 12:07,4.95,17364.0,United Kingdom,4.95,11,11,4,45,3.331081081
548606,22398,MAGNETS PACK OF 4 SWALLOWS,60,01-04-2011 11:10,1.25,12731.0,France,75,1,4,4,13,10.47540984
566400,23397,FOOT STOOL HOME SWEET HOME ,2,12-09-2011 13:16,9.95,17139.0,United Kingdom,19.9,12,9,0,37,1.908045977
538354,22969,HOMEMADE JAM SCENTED CANDLES,24,10-12-2010 15:45,1.45,16873.0,United Kingdom,34.8,10,12,4,49,15.09454545
556207,84596G,SMALL CHOCOLATES PINK BOWL,8,09-06-2011 13:50,0.42,17372.0,United Kingdom,3.36,9,6,3,23,8.203703704
537382,21818,GLITTER CHRISTMAS HEART ,2,06-12-2010 13:13,0.85,16710.0,United Kingdom,1.7,6,12,0,49,16.35820896
580734,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,06-12-2011 08:46,4.25,12766.0,Portugal,17,6,12,1,49,8.358306189
543250,84991,60 TEATIME FAIRY CAKE CASES,24,04-02-2011 14:46,0.55,13911.0,United Kingdom,13.2,4,2,4,5,17.46216216
536398,22111,SCOTTIE DOG HOT WATER BOTTLE,9,01-12-2010 10:52,4.95,13448.0,United Kingdom,44.55,1,12,2,48,5.24260355
565841,22617,BAKING SET SPACEBOY DESIGN,1,07-09-2011 12:04,10.79,Unknown,United Kingdom,10.79,7,9,2,36,5.894179894
580640,22429,ENAMEL MEASURING JUG CREAM,1,05-12-2011 12:51,4.25,16910.0,United Kingdom,4.25,5,12,0,49,2.742331288
549238,85040A,S/4 PINK FLOWER CANDLES IN BOWL,2,07-04-2011 11:30,1.65,14667.0,United Kingdom,3.3,7,4,3,14,4.884057971
559337,21470,FLOWER VINE RAFFIA FOOD COVER,4,07-07-2011 16:27,3.29,Unknown,United Kingdom,13.16,7,7,3,27,2.811594203
556039,21326,AGED GLASS SILVER T-LIGHT HOLDER,144,08-06-2011 12:40,0.55,13001.0,United Kingdom,79.2,8,6,2,23,33.66060606
574862,23206,LUNCH BAG APPLE DESIGN,10,07-11-2011 12:27,1.65,12408.0,Belgium,16.5,7,11,0,45,10.59004739
545759,22978,PANTRY ROLLING PIN,6,07-03-2011 11:56,3.75,16316.0,United Kingdom,22.5,7,3,0,10,6.574257426
565995,21705,BAG 500g SWIRLY MARBLES,24,08-09-2011 11:48,1.65,16076.0,United Kingdom,39.6,8,9,3,36,13.09589041
566440,85099B,JUMBO BAG RED RETROSPOT,10,12-09-2011 15:19,2.08,15755.0,United Kingdom,20.8,12,9,0,37,24.14606742
575728,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,4,10-11-2011 19:40,3.75,14911.0,EIRE,15,10,11,3,45,5.961290323
549258,71459,HANGING JAM JAR T-LIGHT HOLDER,12,07-04-2011 12:30,0.85,13102.0,United Kingdom,10.2,7,4,3,14,34.68983957
559052,22327,ROUND SNACK BOXES SET OF 4 SKULLS,2,05-07-2011 16:53,5.79,Unknown,United Kingdom,11.58,5,7,1,27,3.330935252
562846,22745,POPPY'S PLAYHOUSE BEDROOM ,3,10-08-2011 09:29,3.29,Unknown,United Kingdom,9.87,10,8,2,32,4.398058252
580876,23544,WALL ART MID CENTURY MODERN ,1,06-12-2011 12:12,3.95,14071.0,United Kingdom,3.95,6,12,1,49,10.26666667
565915,22581,WOOD STOCKING CHRISTMAS SCANDISPOT,10,07-09-2011 15:52,0.85,15752.0,United Kingdom,8.5,7,9,2,36,8.247058824
551702,21843,RED RETROSPOT CAKE STAND,4,03-05-2011 14:16,10.95,13014.0,United Kingdom,43.8,3,5,1,18,3.243478261
549718,22254,FELT TOADSTOOL LARGE,12,11-04-2011 15:03,1.25,13846.0,United Kingdom,15,11,4,0,15,8.620689655
543007,22792,FLUTED ANTIQUE CANDLE HOLDER,12,02-02-2011 12:54,0.85,13894.0,United Kingdom,10.2,2,2,2,5,12.87234043
565247,22427,ENAMEL FLOWER JUG CREAM,12,02-09-2011 10:31,5.45,15864.0,United Kingdom,65.4,2,9,4,35,4.175965665
573748,23130,MISTLETOE HEART WREATH GREEN,8,01-11-2011 09:24,4.15,14911.0,EIRE,33.2,1,11,1,44,5.569444444
549558,84858C,PINK RIVIERA HANDBAG,1,10-04-2011 13:21,5.95,15058.0,United Kingdom,5.95,10,4,6,14,1
538171,21871,SAVE THE PLANET MUG,2,09-12-2010 20:01,1.25,17530.0,United Kingdom,2.5,9,12,3,49,13.15
574673,23368,SET 12 COLOUR PENCILS DOLLY GIRL ,3,06-11-2011 12:26,0.65,15555.0,United Kingdom,1.95,6,11,6,44,8.193877551
566198,23400,SHELF WITH 4 HOOKS HOME SWEET HOME,2,09-09-2011 13:58,6.25,18109.0,United Kingdom,12.5,9,9,4,36,4.853658537
574963,23460,SWEETHEART WALL TIDY ,2,08-11-2011 10:27,9.95,12919.0,United Kingdom,19.9,8,11,1,45,3.857142857
580399,84375,SET OF 20 KIDS COOKIE CUTTERS,6,04-12-2011 11:45,2.1,13471.0,United Kingdom,12.6,4,12,6,48,7.783333333
556484,21976,PACK OF 60 MUSHROOM CAKE CASES,4,12-06-2011 13:17,0.55,16938.0,United Kingdom,2.2,12,6,6,23,9.584699454
569468,23240,SET OF 4 KNICK KNACK TINS DOILY ,6,04-10-2011 11:56,4.15,16186.0,United Kingdom,24.9,4,10,1,40,6.856435644
