Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Price,Discount,Weather Condition,Competitor Pricing,Seasonality,Demand
2022-01-01,S001,P0001,Electronics,North,195,102,252,72.72,5,Snowy,85.73,Winter,115
2022-01-01,S001,P0002,Clothing,North,117,117,249,80.16,15,Snowy,92.02,Winter,229
2022-01-01,S001,P0003,Clothing,North,247,114,612,62.94,10,Snowy,60.08,Winter,157
2022-01-01,S001,P0004,Electronics,North,139,45,102,87.63,10,Snowy,85.19,Winter,52
2022-01-01,S001,P0005,Groceries,North,152,65,271,54.41,0,Snowy,51.63,Winter,59
2022-01-01,S001,P0006,Toys,North,209,60,0,35.53,0,Snowy,40.01,Winter,55
2022-01-01,S001,P0007,Groceries,North,118,81,335,23.27,5,Snowy,24.78,Winter,94
2022-01-01,S001,P0008,Electronics,North,244,42,0,37.79,5,Snowy,44.85,Winter,61
2022-01-01,S001,P0009,Clothing,North,115,88,139,94.2,5,Snowy,108.7,Winter,129
2022-01-01,S001,P0010,Furniture,North,192,70,300,113.35,10,Snowy,129.98,Winter,69
2022-01-01,S001,P0011,Furniture,North,215,51,142,156.34,0,Snowy,188.96,Winter,64
2022-01-01,S001,P0012,Groceries,North,289,121,215,84.48,0,Snowy,92.02,Winter,104
2022-01-01,S001,P0013,Toys,North,279,113,0,33.1,5,Snowy,39.11,Winter,110
2022-01-01,S001,P0014,Groceries,North,252,121,479,80.13,10,Snowy,92.24,Winter,165
2022-01-01,S001,P0015,Toys,North,119,55,74,14.39,5,Snowy,13.59,Winter,64
2022-01-01,S001,P0016,Groceries,North,103,78,372,38.79,10,Snowy,35.14,Winter,115
2022-01-01,S001,P0017,Toys,North,128,59,0,21.21,0,Snowy,22.73,Winter,75
2022-01-01,S001,P0018,Groceries,North,281,78,0,54.4,5,Snowy,54.1,Winter,66
2022-01-01,S001,P0019,Furniture,North,281,61,0,95.56,10,Snowy,103.05,Winter,58
2022-01-01,S001,P0020,Furniture,North,266,36,0,100.47,5,Snowy,115.24,Winter,43
2022-01-01,S002,P0001,Groceries,South,102,102,331,90.89,0,Cloudy,81.87,Winter,118
2022-01-01,S002,P0002,Toys,South,193,119,192,25.68,25,Cloudy,30.95,Winter,105
2022-01-01,S002,P0003,Groceries,South,187,167,596,95.17,10,Cloudy,84.24,Winter,171
2022-01-01,S002,P0004,Groceries,South,160,111,339,39.54,10,Cloudy,46.57,Winter,110
2022-01-01,S002,P0005,Electronics,South,155,103,334,92.35,0,Cloudy,104.72,Winter,94
2022-01-01,S002,P0006,Clothing,South,198,79,0,64.0,5,Cloudy,57.37,Winter,88
2022-01-01,S002,P0007,Toys,South,233,89,226,25.47,10,Cloudy,30.08,Winter,93
2022-01-01,S002,P0008,Groceries,South,124,124,99,25.63,5,Cloudy,29.79,Winter,112
2022-01-01,S002,P0009,Groceries,South,131,131,260,64.84,10,Cloudy,68.68,Winter,145
2022-01-01,S002,P0010,Groceries,South,242,118,194,117.17,5,Cloudy,106.37,Winter,195
2022-01-01,S002,P0011,Groceries,South,206,49,191,84.71,10,Cloudy,76.07,Winter,79
2022-01-01,S002,P0012,Electronics,South,197,78,413,78.86,0,Cloudy,69.84,Winter,122
2022-01-01,S002,P0013,Groceries,South,152,93,331,21.76,10,Cloudy,21.12,Winter,109
2022-01-01,S002,P0014,Electronics,South,153,69,289,100.18,10,Cloudy,108.96,Winter,63
2022-01-01,S002,P0015,Clothing,South,106,70,457,65.19,10,Cloudy,64.23,Winter,96
2022-01-01,S002,P0016,Clothing,South,113,113,323,111.87,5,Cloudy,118.76,Winter,194
2022-01-01,S002,P0017,Toys,South,153,72,196,18.89,5,Cloudy,18.27,Winter,65
2022-01-01,S002,P0018,Clothing,South,126,69,86,27.67,0,Cloudy,26.08,Winter,79
2022-01-01,S002,P0019,Clothing,South,164,82,391,83.09,10,Cloudy,74.12,Winter,96
2022-01-01,S002,P0020,Furniture,South,126,43,132,125.8,0,Cloudy,110.88,Winter,53
2022-01-01,S003,P0001,Toys,East,182,109,193,16.85,10,Sunny,15.48,Winter,112
2022-01-01,S003,P0002,Groceries,East,290,56,236,50.42,10,Sunny,45.94,Winter,82
2022-01-01,S003,P0003,Electronics,East,122,122,127,83.17,20,Sunny,72.09,Winter,126
2022-01-01,S003,P0004,Groceries,East,203,122,518,26.29,5,Sunny,30.05,Winter,158
2022-01-01,S003,P0005,Toys,East,253,40,212,19.8,5,Sunny,17.3,Winter,57
2022-01-01,S003,P0006,Toys,East,227,106,0,44.64,0,Sunny,50.46,Winter,136
2022-01-01,S003,P0007,Groceries,East,247,123,552,18.65,0,Sunny,21.62,Winter,142
2022-01-01,S003,P0008,Clothing,East,297,61,0,113.01,0,Sunny,126.44,Winter,89
