Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Price,Discount,Weather Condition,Competitor Pricing,Seasonality,Demand,Revenue,Month,Day,Year,Day_of_Week,Price_Difference
2022-01-01,S001,P0001,Electronics,North,195,102,252,72.72,5,Snowy,85.73,Winter,115,7417.44,1,1,2022,5,-13.010000000000003
2022-01-01,S001,P0002,Clothing,North,117,117,249,80.16,15,Snowy,92.02,Winter,229,9378.72,1,1,2022,5,-11.86
2022-01-01,S001,P0003,Clothing,North,247,114,612,62.94,10,Snowy,60.08,Winter,157,7175.16,1,1,2022,5,2.8599999999999994
2022-01-01,S001,P0004,Electronics,North,139,45,102,87.63,10,Snowy,85.19,Winter,52,3943.35,1,1,2022,5,2.4399999999999977
2022-01-01,S001,P0005,Groceries,North,152,65,271,54.41,0,Snowy,51.63,Winter,59,3536.65,1,1,2022,5,2.779999999999994
2022-01-01,S001,P0006,Toys,North,209,60,0,35.53,0,Snowy,40.01,Winter,55,2131.8,1,1,2022,5,-4.479999999999997
2022-01-01,S001,P0007,Groceries,North,118,81,335,23.27,5,Snowy,24.78,Winter,94,1884.87,1,1,2022,5,-1.5100000000000016
2022-01-01,S001,P0008,Electronics,North,244,42,0,37.79,5,Snowy,44.85,Winter,61,1587.18,1,1,2022,5,-7.060000000000002
2022-01-01,S001,P0009,Clothing,North,115,88,139,94.2,5,Snowy,108.7,Winter,129,8289.6,1,1,2022,5,-14.5
2022-01-01,S001,P0010,Furniture,North,192,70,300,113.35,10,Snowy,129.98,Winter,69,7934.5,1,1,2022,5,-16.629999999999995
2022-01-01,S001,P0011,Furniture,North,215,51,142,156.34,0,Snowy,188.96,Winter,64,7973.34,1,1,2022,5,-32.620000000000005
2022-01-01,S001,P0012,Groceries,North,289,121,215,84.48,0,Snowy,92.02,Winter,104,10222.08,1,1,2022,5,-7.539999999999992
2022-01-01,S001,P0013,Toys,North,279,113,0,33.1,5,Snowy,39.11,Winter,110,3740.3,1,1,2022,5,-6.009999999999998
2022-01-01,S001,P0014,Groceries,North,252,121,479,80.13,10,Snowy,92.24,Winter,165,9695.73,1,1,2022,5,-12.11
2022-01-01,S001,P0015,Toys,North,119,55,74,14.39,5,Snowy,13.59,Winter,64,791.45,1,1,2022,5,0.8000000000000007
2022-01-01,S001,P0016,Groceries,North,103,78,372,38.79,10,Snowy,35.14,Winter,115,3025.62,1,1,2022,5,3.649999999999999
2022-01-01,S001,P0017,Toys,North,128,59,0,21.21,0,Snowy,22.73,Winter,75,1251.39,1,1,2022,5,-1.5199999999999996
2022-01-01,S001,P0018,Groceries,North,281,78,0,54.4,5,Snowy,54.1,Winter,66,4243.2,1,1,2022,5,0.2999999999999971
2022-01-01,S001,P0019,Furniture,North,281,61,0,95.56,10,Snowy,103.05,Winter,58,5829.16,1,1,2022,5,-7.489999999999995
2022-01-01,S001,P0020,Furniture,North,266,36,0,100.47,5,Snowy,115.24,Winter,43,3616.92,1,1,2022,5,-14.769999999999996
2022-01-01,S002,P0001,Groceries,South,102,102,331,90.89,0,Cloudy,81.87,Winter,118,9270.78,1,1,2022,5,9.019999999999996
2022-01-01,S002,P0002,Toys,South,193,119,192,25.68,25,Cloudy,30.95,Winter,105,3055.92,1,1,2022,5,-5.27
2022-01-01,S002,P0003,Groceries,South,187,167,596,95.17,10,Cloudy,84.24,Winter,171,15893.39,1,1,2022,5,10.930000000000009
2022-01-01,S002,P0004,Groceries,South,160,111,339,39.54,10,Cloudy,46.57,Winter,110,4388.94,1,1,2022,5,-7.030000000000001
2022-01-01,S002,P0005,Electronics,South,155,103,334,92.35,0,Cloudy,104.72,Winter,94,9512.05,1,1,2022,5,-12.370000000000005
2022-01-01,S002,P0006,Clothing,South,198,79,0,64.0,5,Cloudy,57.37,Winter,88,5056.0,1,1,2022,5,6.630000000000003
2022-01-01,S002,P0007,Toys,South,233,89,226,25.47,10,Cloudy,30.08,Winter,93,2266.83,1,1,2022,5,-4.609999999999999
2022-01-01,S002,P0008,Groceries,South,124,124,99,25.63,5,Cloudy,29.79,Winter,112,3178.12,1,1,2022,5,-4.16
2022-01-01,S002,P0009,Groceries,South,131,131,260,64.84,10,Cloudy,68.68,Winter,145,8494.04,1,1,2022,5,-3.8400000000000034
2022-01-01,S002,P0010,Groceries,South,242,118,194,117.17,5,Cloudy,106.37,Winter,195,13826.06,1,1,2022,5,10.799999999999995
2022-01-01,S002,P0011,Groceries,South,206,49,191,84.71,10,Cloudy,76.07,Winter,79,4150.79,1,1,2022,5,8.64
2022-01-01,S002,P0012,Electronics,South,197,78,413,78.86,0,Cloudy,69.84,Winter,122,6151.08,1,1,2022,5,9.019999999999996
2022-01-01,S002,P0013,Groceries,South,152,93,331,21.76,10,Cloudy,21.12,Winter,109,2023.68,1,1,2022,5,0.6400000000000006
2022-01-01,S002,P0014,Electronics,South,153,69,289,100.18,10,Cloudy,108.96,Winter,63,6912.42,1,1,2022,5,-8.779999999999987
2022-01-01,S002,P0015,Clothing,South,106,70,457,65.19,10,Cloudy,64.23,Winter,96,4563.3,1,1,2022,5,0.9599999999999936
2022-01-01,S002,P0016,Clothing,South,113,113,323,111.87,5,Cloudy,118.76,Winter,194,12641.31,1,1,2022,5,-6.890000000000001
2022-01-01,S002,P0017,Toys,South,153,72,196,18.89,5,Cloudy,18.27,Winter,65,1360.08,1,1,2022,5,0.620000000000001
2022-01-01,S002,P0018,Clothing,South,126,69,86,27.67,0,Cloudy,26.08,Winter,79,1909.23,1,1,2022,5,1.5900000000000034
2022-01-01,S002,P0019,Clothing,South,164,82,391,83.09,10,Cloudy,74.12,Winter,96,6813.38,1,1,2022,5,8.969999999999999
2022-01-01,S002,P0020,Furniture,South,126,43,132,125.8,0,Cloudy,110.88,Winter,53,5409.4,1,1,2022,5,14.920000000000002
2022-01-01,S003,P0001,Toys,East,182,109,193,16.85,10,Sunny,15.48,Winter,112,1836.65,1,1,2022,5,1.370000000000001
2022-01-01,S003,P0002,Groceries,East,290,56,236,50.42,10,Sunny,45.94,Winter,82,2823.52,1,1,2022,5,4.480000000000004
2022-01-01,S003,P0003,Electronics,East,122,122,127,83.17,20,Sunny,72.09,Winter,126,10146.74,1,1,2022,5,11.079999999999998
2022-01-01,S003,P0004,Groceries,East,203,122,518,26.29,5,Sunny,30.05,Winter,158,3207.38,1,1,2022,5,-3.7600000000000016
2022-01-01,S003,P0005,Toys,East,253,40,212,19.8,5,Sunny,17.3,Winter,57,792.0,1,1,2022,5,2.5
2022-01-01,S003,P0006,Toys,East,227,106,0,44.64,0,Sunny,50.46,Winter,136,4731.84,1,1,2022,5,-5.82
2022-01-01,S003,P0007,Groceries,East,247,123,552,18.65,0,Sunny,21.62,Winter,142,2293.95,1,1,2022,5,-2.9700000000000024
2022-01-01,S003,P0008,Clothing,East,297,61,0,113.01,0,Sunny,126.44,Winter,89,6893.610000000001,1,1,2022,5,-13.429999999999993
2022-01-01,S003,P0009,Groceries,East,226,96,0,56.32,5,Sunny,66.33,Winter,126,5406.72,1,1,2022,5,-10.009999999999998
2022-01-01,S003,P0010,Groceries,East,167,70,127,36.21,10,Sunny,39.87,Winter,106,2534.7000000000003,1,1,2022,5,-3.6599999999999966
2022-01-01,S003,P0011,Electronics,East,159,157,293,131.16,10,Sunny,139.75,Winter,149,20592.12,1,1,2022,5,-8.590000000000003
2022-01-01,S003,P0012,Furniture,East,126,58,131,105.94,0,Sunny,103.35,Winter,80,6144.52,1,1,2022,5,2.5900000000000034
2022-01-01,S003,P0013,Groceries,East,105,105,743,86.78,10,Sunny,78.8,Winter,176,9111.9,1,1,2022,5,7.980000000000004
2022-01-01,S003,P0014,Groceries,East,271,27,0,61.69,25,Sunny,53.36,Winter,44,1665.63,1,1,2022,5,8.329999999999998
2022-01-01,S003,P0015,Groceries,East,166,131,500,98.46,10,Sunny,104.52,Winter,133,12898.259999999998,1,1,2022,5,-6.060000000000002
2022-01-01,S003,P0016,Electronics,East,292,80,0,94.11,10,Sunny,107.33,Winter,108,7528.8,1,1,2022,5,-13.22
2022-01-01,S003,P0017,Furniture,East,204,53,380,112.23,10,Sunny,133.9,Winter,82,5948.1900000000005,1,1,2022,5,-21.67
2022-01-01,S003,P0018,Furniture,East,289,56,316,134.95,5,Sunny,125.53,Winter,75,7557.199999999999,1,1,2022,5,9.419999999999987
2022-01-01,S003,P0019,Groceries,East,201,109,0,59.71,0,Sunny,70.74,Winter,123,6508.39,1,1,2022,5,-11.029999999999994
2022-01-01,S003,P0020,Clothing,East,250,41,270,65.81,5,Sunny,57.66,Winter,61,2698.21,1,1,2022,5,8.150000000000006
