product_id,price,sales_quantity,inventory,date
PRD93767,242488.76,57,792,31-07-2024 13:00
PRD16410,6094.81,66,303,21-06-2024 21:00
PRD16251,35207.18,61,456,15-09-2024 09:00
PRD26157,157545.96,65,853,16-02-2024 13:00
PRD69628,272285.32,57,894,02-09-2024 01:00
PRD50075,335685.93,57,952,20-02-2024 20:00
PRD54033,190002.69,63,767,24-08-2024 11:00
PRD24844,216373.5,55,487,25-06-2024 03:00
PRD70795,176350.3,43,90,12-05-2024 11:00
PRD69953,165771.73,64,809,27-07-2024 05:00
PRD41285,401769.71,40,428,20-09-2024 15:00
PRD10216,407175.79,34,425,25-03-2024 10:00
PRD65628,361350.31,56,843,18-09-2024 15:00
PRD14753,59871.61,59,442,29-08-2024 08:00
PRD73672,160225.73,63,714,17-05-2024 11:00
PRD73697,245914.96,36,118,01-08-2024 17:00
PRD60639,426184.71,49,829,20-03-2024 11:00
PRD54253,216127.1,52,566,02-10-2024 11:00
PRD13230,10644.02,77,788,24-04-2024 20:00
PRD11818,222636.01,55,683,27-04-2024 06:00
PRD16329,444061.01,46,794,06-07-2024 10:00
PRD63678,332381.07,38,173,29-07-2024 08:00
PRD81447,49086.01,75,669,25-07-2024 10:00
PRD42328,327537.31,44,363,17-04-2024 11:00
PRD94350,80770.25,78,985,22-08-2024 15:00
PRD49680,76363.93,57,170,04-05-2024 03:00
PRD42459,32132.08,62,362,19-08-2024 17:00
PRD22647,344456.64,47,645,24-01-2024 14:00
PRD41216,277681.7,39,98,15-07-2024 18:00
PRD52944,40881.76,73,863,16-09-2024 12:00
PRD54363,303925.81,44,432,21-05-2024 18:00
PRD81262,470105.61,25,303,21-03-2024 00:00
PRD45387,124843.08,65,585,20-03-2024 00:00
PRD27450,147063.96,52,254,01-08-2024 16:00
PRD84189,102954.2,68,685,24-01-2024 14:00
PRD22971,65874.64,70,781,17-02-2024 06:00
PRD47329,267154.35,59,748,19-04-2024 01:00
PRD95770,32362.56,61,291,10-07-2024 11:00
PRD45997,413993.47,37,548,06-03-2024 01:00
PRD16304,127634.59,61,619,24-01-2024 06:00
PRD75990,203357.74,63,789,11-03-2024 19:00
PRD16320,145341.51,57,385,03-08-2024 21:00
PRD81839,232967.26,47,282,27-09-2024 10:00
PRD62774,7864.41,72,474,24-06-2024 02:00
PRD14912,398879.07,24,44,16-06-2024 10:00
PRD90878,386549.52,38,318,08-04-2024 03:00
PRD72610,115090.7,66,782,16-04-2024 09:00
PRD80742,205417.74,42,126,04-09-2024 06:00
PRD25850,327362.22,60,924,15-10-2024 02:00
PRD59091,150190.99,62,508,05-08-2024 04:00
PRD54802,72937.09,61,374,26-02-2024 20:00
PRD31697,22382.75,61,181,29-08-2024 00:00
PRD12366,223756.96,50,434,28-09-2024 07:00
PRD22814,12549.6,67,356,18-02-2024 03:00
PRD99631,71108.15,65,674,09-06-2024 17:00
PRD21421,238084.97,55,668,19-10-2024 13:00
PRD28525,104395.75,63,680,30-07-2024 12:00
PRD95917,166115.59,67,921,03-03-2024 02:00
PRD68183,515838.23,34,494,26-09-2024 07:00
PRD59103,88992.77,52,95,14-04-2024 03:00
PRD66515,70722.15,65,439,17-08-2024 05:00
PRD55932,57141.86,65,645,26-09-2024 20:00
PRD75406,229464.38,44,304,02-07-2024 00:00
PRD33307,384034.25,35,202,20-09-2024 17:00
PRD51900,460435.31,48,970,21-01-2024 14:00
PRD17341,367937.4,46,763,27-06-2024 00:00
PRD78804,188767.47,71,944,07-02-2024 11:00
PRD45065,530298.1,36,659,09-06-2024 04:00
PRD32166,350126.91,34,224,05-08-2024 15:00
PRD17234,424910.42,27,48,04-07-2024 18:00
PRD54197,378575.24,23,10,22-08-2024 15:00
PRD66695,364615.05,53,978,26-07-2024 18:00
PRD76241,551074,39,759,25-04-2024 01:00
PRD34901,140986.52,44,156,24-02-2024 02:00
PRD56635,293455.2,34,145,29-04-2024 10:00
PRD45422,336010.66,36,335,21-04-2024 07:00
PRD62588,513477.2,36,811,09-08-2024 10:00
PRD64210,55605.71,74,780,14-03-2024 23:00
PRD79847,35127.77,61,346,30-01-2024 17:00
PRD89466,49874.87,68,466,10-06-2024 12:00
PRD34466,448730.69,39,726,09-05-2024 07:00
PRD56359,439551.48,38,670,30-08-2024 08:00
PRD33180,494226.89,23,175,15-10-2024 08:00
PRD84023,358309.78,36,249,03-07-2024 11:00
PRD86369,143361.88,57,480,04-02-2024 03:00
PRD37601,143213.2,71,783,11-09-2024 03:00
PRD45622,5613.75,79,733,03-07-2024 19:00
PRD89642,217143.96,49,225,03-08-2024 06:00
PRD13169,63305.6,69,734,25-02-2024 06:00
PRD69303,87242.8,54,138,06-07-2024 17:00
PRD73322,249442.42,37,168,09-05-2024 13:00
PRD23892,277033.81,59,794,25-03-2024 08:00
PRD15226,8227.83,77,785,24-07-2024 22:00
PRD99914,267911.26,46,261,27-06-2024 20:00
PRD43874,108755.79,59,459,30-05-2024 07:00
PRD97083,131309.67,65,592,24-09-2024 13:00
PRD66432,92779.11,49,124,07-08-2024 19:00
PRD58890,123516.09,66,570,28-02-2024 22:00
PRD99065,234055.78,41,246,05-03-2024 13:00
PRD34636,356358.32,37,259,11-07-2024 17:00
PRD20969,210219.46,57,583,11-06-2024 23:00
PRD34208,408085.6,35,426,27-05-2024 05:00
PRD43268,332841.4,59,995,14-02-2024 16:00
PRD84529,508693.26,30,551,15-05-2024 22:00
PRD91544,81540.34,63,419,28-02-2024 17:00
PRD71533,179835.88,48,343,24-06-2024 10:00
PRD49682,582808.55,22,267,02-09-2024 05:00
PRD90509,44881.45,55,72,04-05-2024 14:00
PRD21073,610981.1,8,52,16-08-2024 22:00
PRD74960,196167.23,56,533,13-02-2024 09:00
PRD70902,155959.59,58,438,07-02-2024 10:00
PRD12093,244946.33,60,890,09-04-2024 20:00
PRD15036,297701.38,41,221,08-09-2024 02:00
PRD61780,139921.75,49,203,12-09-2024 19:00
PRD42333,329871.3,41,360,01-09-2024 14:00
PRD55100,15355.02,58,208,01-05-2024 14:00
PRD59456,257192.42,61,769,15-04-2024 22:00
PRD77279,405143.57,35,412,31-03-2024 01:00
PRD13858,10344.5,58,150,11-02-2024 14:00
PRD98987,2442.95,71,484,14-06-2024 06:00
PRD50600,372267.64,32,323,27-01-2024 17:00
PRD49282,84801.62,72,794,21-06-2024 13:00
PRD73201,425646.74,30,168,01-02-2024 23:00
PRD37227,17209.79,62,382,15-10-2024 03:00
PRD41378,162418.8,61,756,23-04-2024 12:00
PRD96236,201203.8,55,667,03-05-2024 20:00
PRD25995,302511.94,41,302,19-03-2024 19:00
PRD37617,195751.09,39,124,14-09-2024 18:00
PRD27852,243167.69,45,161,17-08-2024 01:00
PRD72527,68845.19,69,702,13-10-2024 14:00
PRD29113,356622.31,37,222,31-03-2024 21:00
PRD42246,19163.87,57,141,17-05-2024 07:00
PRD63776,296590.66,40,392,09-04-2024 15:00
PRD75342,4870.95,83,991,22-10-2024 16:00
PRD59148,55053.99,75,792,02-06-2024 16:00
PRD80098,444702.26,39,517,12-08-2024 14:00
PRD88983,53431.03,82,976,16-07-2024 11:00
PRD27517,260240.76,50,551,15-09-2024 06:00
PRD41451,452389.75,28,354,26-06-2024 16:00
PRD40880,342909.83,50,838,02-05-2024 21:00
PRD19780,575637.04,10,26,12-02-2024 18:00
PRD45003,165972.13,56,334,09-04-2024 18:00
PRD83772,423956.66,39,547,01-08-2024 18:00
PRD55298,417051.22,34,357,02-05-2024 18:00
PRD72601,240601.24,47,394,19-10-2024 13:00
PRD43986,361259.07,37,384,01-04-2024 07:00
PRD72324,303661.63,42,342,22-08-2024 09:00
PRD43274,316659.58,35,261,14-09-2024 18:00
PRD54404,399428.56,30,167,01-01-2024 19:00
PRD20414,166318.17,43,96,19-06-2024 09:00
PRD79445,440247.75,47,754,12-05-2024 08:00
PRD35918,140651.34,49,94,10-07-2024 12:00
PRD33369,292244.36,47,439,22-02-2024 10:00
PRD68615,141817.2,52,141,26-01-2024 04:00
PRD60371,246541.6,38,108,08-04-2024 05:00
PRD51867,198479.56,58,655,13-07-2024 03:00
PRD79780,112440.14,44,56,02-05-2024 22:00
PRD25032,143661.14,66,678,22-01-2024 01:00
PRD69226,351588.24,47,507,26-04-2024 03:00
PRD56704,2488.51,59,261,27-01-2024 18:00
PRD71934,136926.82,74,971,16-03-2024 18:00
PRD22111,152085.63,43,89,17-06-2024 07:00
PRD10382,310115.33,50,675,09-08-2024 10:00
PRD63789,94443.29,70,703,16-03-2024 04:00
PRD40515,241189.75,56,728,12-05-2024 15:00
PRD23912,282269.7,36,221,28-05-2024 07:00
PRD64929,316656.17,35,186,09-03-2024 12:00
PRD61185,122740.73,63,504,26-08-2024 03:00
PRD92505,15787.72,67,407,17-07-2024 19:00
PRD26788,307833.53,32,1,04-08-2024 05:00
PRD10965,325468.17,33,227,22-06-2024 15:00
PRD37391,341757.07,54,933,05-04-2024 18:00
PRD40314,275030.96,52,650,27-03-2024 22:00
PRD38092,320314.27,54,780,05-09-2024 06:00
PRD85672,349728.16,36,181,22-06-2024 07:00
PRD82719,423940.85,53,961,02-04-2024 12:00
PRD68033,398921.66,23,119,11-06-2024 16:00
PRD40436,414026.02,45,857,05-04-2024 14:00
PRD91417,494293.12,26,258,20-10-2024 03:00
PRD52205,57249.39,78,897,12-02-2024 01:00
PRD87186,204975.94,66,893,22-02-2024 14:00
PRD19429,206906.28,43,272,11-03-2024 22:00
PRD88078,172317.81,58,670,21-10-2024 14:00
PRD89427,94928.95,68,697,17-08-2024 21:00
PRD87889,245039.7,35,30,16-10-2024 15:00
PRD50419,277638.87,39,288,12-04-2024 16:00
PRD25206,58425.16,61,220,25-08-2024 08:00
PRD61654,305465.4,39,355,28-07-2024 15:00
PRD75133,315585.95,31,173,23-09-2024 01:00
PRD39603,2526.66,66,405,12-09-2024 09:00
PRD56087,13577.11,78,762,07-02-2024 10:00
PRD77252,443679.02,35,411,05-10-2024 04:00
PRD61573,588719.95,38,929,15-09-2024 12:00
PRD53586,83128.63,66,475,22-01-2024 05:00
PRD88397,266595.63,63,822,08-05-2024 04:00
PRD91479,380042.94,50,688,20-04-2024 10:00
PRD86971,15094.74,69,658,03-07-2024 05:00
PRD59214,194042.19,48,166,21-03-2024 22:00
PRD57464,519558.19,40,904,02-08-2024 03:00
PRD77451,292883.87,40,178,04-01-2024 20:00
PRD13629,585282.03,13,12,16-06-2024 14:00
PRD95995,23926.21,68,490,08-06-2024 02:00
PRD80279,143944.85,43,133,19-08-2024 06:00
PRD29143,551810.36,39,945,28-04-2024 18:00
PRD15483,397736.34,29,159,21-08-2024 13:00
PRD88095,285374.34,50,476,11-10-2024 08:00
PRD83637,132991.85,58,456,05-05-2024 11:00
PRD89212,255789.07,49,408,28-09-2024 08:00
PRD12972,148375.8,57,452,23-04-2024 10:00
PRD51229,466548.07,32,563,01-09-2024 08:00
PRD29054,47586.73,57,135,01-04-2024 11:00
PRD73568,392265.94,35,419,16-04-2024 03:00
PRD78257,179691.61,48,350,31-03-2024 19:00
PRD70283,226142.01,45,155,23-03-2024 15:00
PRD48994,356794.58,51,684,10-04-2024 19:00
PRD41691,325911.66,40,353,18-05-2024 23:00
PRD96284,214374.16,47,357,19-04-2024 03:00
PRD83869,227250.05,50,296,26-02-2024 08:00
PRD33831,395197.6,33,243,17-04-2024 21:00
PRD35656,15098.64,85,917,04-05-2024 11:00
PRD68173,424564.36,43,713,15-09-2024 11:00
PRD45502,389855.65,49,720,09-02-2024 01:00
PRD59601,212058.05,62,651,24-07-2024 12:00
PRD57259,185912.89,52,520,08-09-2024 16:00
PRD47496,428126.8,45,906,12-08-2024 09:00
PRD67058,362688.64,33,89,30-01-2024 14:00
PRD75523,408123.38,42,578,03-09-2024 14:00
PRD14695,582315.4,16,210,29-07-2024 11:00
PRD95512,266757.25,45,355,15-02-2024 01:00
PRD59100,193683.99,47,381,11-07-2024 12:00
PRD63628,129480.16,63,647,10-03-2024 05:00
PRD53918,294838.8,34,91,05-03-2024 18:00
PRD79674,24401.38,53,12,06-04-2024 19:00
PRD27664,108716.44,45,80,10-01-2024 05:00
PRD37229,137775.92,64,727,16-07-2024 00:00
PRD36877,493443.69,23,89,04-09-2024 03:00
PRD10635,166101.29,66,878,08-08-2024 20:00
PRD68531,245732.37,36,36,20-08-2024 20:00
PRD95316,186247.51,49,225,26-02-2024 13:00
PRD20515,255705.18,58,809,23-01-2024 12:00
PRD74218,437386.12,42,588,01-07-2024 16:00
PRD91699,348579.75,54,804,25-02-2024 20:00
PRD89267,482638.84,32,403,11-05-2024 10:00
PRD82482,448339.66,33,511,31-08-2024 03:00
PRD45274,254481.91,41,67,15-02-2024 11:00
PRD16385,547614.38,27,586,23-04-2024 02:00
PRD97243,384584.29,54,856,26-10-2024 12:00
PRD11182,54215.73,54,164,09-07-2024 10:00
PRD18051,1544.29,73,723,25-09-2024 09:00
PRD77033,112655.9,73,775,19-04-2024 19:00
PRD33763,264711.36,36,10,01-01-2024 18:00
PRD62926,342042.53,35,190,26-10-2024 18:00
PRD47441,265723.36,50,406,26-07-2024 02:00
PRD52141,272961.15,66,1000,03-09-2024 14:00
PRD98808,245419.06,45,435,24-06-2024 10:00
PRD62550,580370.36,27,547,26-06-2024 17:00
PRD88546,318635.28,43,576,20-10-2024 03:00
PRD30044,145528.17,57,407,18-04-2024 08:00
PRD36114,154949.99,54,236,12-04-2024 14:00
PRD62877,83240.88,65,690,23-08-2024 14:00
PRD19602,247346.19,56,589,19-02-2024 00:00
PRD18763,52722.47,74,731,29-05-2024 00:00
PRD22311,303276.22,49,599,20-03-2024 16:00
PRD27448,358085.94,30,20,20-09-2024 21:00
PRD26635,559626.18,27,625,21-01-2024 02:00
PRD11859,224937.04,46,362,16-06-2024 19:00
PRD59826,346675.96,26,9,10-07-2024 00:00
PRD94440,191465.35,53,552,22-03-2024 10:00
PRD79256,123176.2,69,764,30-03-2024 12:00
PRD78241,464190.13,33,569,20-10-2024 16:00
PRD54971,221061.19,57,627,19-08-2024 22:00
PRD20671,119558.06,65,788,13-06-2024 00:00
PRD86808,281697.15,50,486,06-07-2024 17:00
PRD45685,275994.55,38,62,21-09-2024 10:00
PRD62768,71871.08,66,688,10-05-2024 19:00
PRD86922,393695.93,27,184,29-04-2024 11:00
PRD88301,348339.71,55,961,02-10-2024 12:00
PRD73609,155269.03,43,83,05-09-2024 03:00
PRD61356,152987.07,72,934,08-04-2024 14:00
PRD95660,115900.79,61,497,12-08-2024 03:00
PRD86086,328838.2,37,183,05-07-2024 01:00
PRD29279,270117.28,53,526,02-03-2024 16:00
PRD36434,9723,65,274,13-04-2024 20:00
PRD44152,382941.81,36,347,18-06-2024 17:00
PRD20824,380341.25,29,95,12-10-2024 07:00
PRD35144,322656.84,35,110,03-09-2024 02:00
PRD73514,424107.25,25,134,08-07-2024 02:00
PRD82000,312727.83,55,966,27-08-2024 13:00
PRD67254,586155.98,16,309,15-05-2024 01:00
PRD30343,57840.74,82,998,06-01-2024 14:00
PRD62966,193319.42,63,763,09-07-2024 13:00
PRD46890,164413.09,67,840,10-09-2024 20:00
PRD12655,101374.74,75,892,17-02-2024 07:00
PRD27683,303254.04,59,877,07-02-2024 17:00
PRD80251,118302.5,57,516,26-02-2024 15:00
PRD56684,126165.18,52,339,25-05-2024 17:00
PRD98225,524317.98,14,129,09-03-2024 22:00
PRD71802,381949.28,36,256,27-05-2024 13:00
PRD52971,11215.52,76,661,30-06-2024 17:00
PRD61210,108234,66,550,25-10-2024 05:00
PRD14438,52352.13,75,906,14-09-2024 01:00
PRD17934,378514.32,40,571,01-07-2024 03:00
PRD57919,319439.85,44,320,06-01-2024 05:00
PRD10229,312097.58,37,120,31-03-2024 20:00
PRD92487,46360.34,65,460,10-09-2024 02:00
PRD82966,234974.09,61,703,01-01-2024 08:00
PRD16026,45642.77,52,82,07-09-2024 05:00
PRD56230,76760.72,48,91,12-06-2024 12:00
PRD21856,232987.06,38,19,07-02-2024 22:00
PRD21758,386173.01,35,322,28-09-2024 23:00
PRD65364,254597.83,48,514,02-05-2024 22:00
PRD18268,215624.77,65,883,23-09-2024 06:00
PRD19254,386585.43,51,807,25-07-2024 20:00
PRD72113,199551.43,50,503,23-03-2024 01:00
PRD52680,460452.65,37,672,23-09-2024 02:00
PRD48352,291219.37,38,147,03-01-2024 01:00
PRD82269,192192.28,68,881,23-08-2024 20:00
PRD40511,482121.48,43,989,28-04-2024 13:00
PRD90118,56386.68,51,45,12-03-2024 07:00
PRD98777,140584.83,68,865,01-07-2024 10:00
PRD11922,146975.48,51,200,20-10-2024 16:00
PRD41936,85436.36,70,674,09-03-2024 21:00
PRD98220,369500.02,32,84,03-05-2024 14:00
PRD84913,345413.49,48,642,12-05-2024 20:00
PRD55172,126728.21,63,550,27-05-2024 21:00
PRD56163,307486.11,44,292,24-01-2024 21:00
PRD89493,265147.9,51,593,26-04-2024 21:00
PRD91188,319409.99,45,435,05-03-2024 18:00
PRD86295,250354.69,60,962,21-02-2024 09:00
PRD82774,27023.82,77,883,09-05-2024 18:00
PRD84955,440637.81,31,256,22-02-2024 01:00
PRD35515,207564.78,52,487,16-10-2024 23:00
PRD34315,216781.62,51,305,20-09-2024 11:00
PRD75751,450170.74,35,542,09-02-2024 23:00
PRD63944,48536.71,65,389,05-01-2024 05:00
PRD16211,107069.12,68,850,26-07-2024 22:00
PRD33267,238965.74,58,627,28-04-2024 05:00
PRD81451,384388.12,33,216,28-02-2024 21:00
PRD66839,58955.53,66,602,10-10-2024 04:00
PRD16160,200800.69,70,968,05-01-2024 07:00
PRD49351,497124.87,49,943,04-07-2024 11:00
PRD54307,89681.93,56,165,25-02-2024 15:00
PRD66747,338209.09,48,759,27-06-2024 12:00
PRD38211,77112.6,69,706,25-01-2024 14:00
PRD10329,304106.91,61,901,22-09-2024 19:00
PRD83097,254262.67,44,258,08-04-2024 00:00
PRD36647,166417.74,58,670,21-07-2024 18:00
PRD85420,451162.99,33,541,28-05-2024 22:00
PRD52755,312475.74,29,63,30-01-2024 12:00
PRD67943,582367.07,18,183,24-01-2024 03:00
PRD60148,69903.08,62,530,01-09-2024 12:00
PRD20507,48767.01,62,234,04-04-2024 13:00
PRD29939,200895.42,68,865,16-08-2024 09:00
PRD73825,399026.49,25,180,09-10-2024 00:00
PRD16638,111216.13,63,594,15-01-2024 08:00
PRD70704,346880.81,40,281,15-05-2024 04:00
PRD39268,528001.54,23,331,11-07-2024 09:00
PRD47275,400420.14,31,151,01-07-2024 00:00
PRD64560,334021.33,43,577,21-07-2024 16:00
PRD73387,188207.53,61,744,28-05-2024 15:00
PRD10006,45485.31,77,941,06-05-2024 23:00
PRD39590,423156.43,43,567,20-07-2024 15:00
PRD90340,217933.91,59,669,04-08-2024 22:00
PRD69992,252135.57,39,74,15-06-2024 10:00
PRD55086,176704.77,50,404,04-06-2024 08:00
PRD25886,393009.56,37,399,21-02-2024 13:00
PRD54484,160987.21,58,487,19-01-2024 01:00
PRD56396,19205.44,78,747,16-03-2024 18:00
PRD22110,41325.91,67,452,02-08-2024 11:00
PRD85648,224821.56,49,351,01-07-2024 13:00
PRD77239,329845.93,48,556,22-01-2024 17:00
PRD32350,24453.8,57,131,01-03-2024 01:00
PRD91152,315185.81,49,549,12-09-2024 01:00
PRD15353,330665.04,39,263,13-08-2024 06:00
PRD64023,344383.03,32,113,27-08-2024 20:00
PRD45719,295776.26,41,274,14-02-2024 07:00
PRD76815,555171.99,33,698,16-05-2024 05:00
PRD14902,44862.96,57,238,01-09-2024 00:00
PRD73047,301310.25,38,239,14-01-2024 07:00
PRD47552,320485.97,52,850,23-01-2024 23:00
PRD72762,315362.35,37,330,12-06-2024 01:00
PRD65752,191712.84,66,943,30-06-2024 14:00
PRD95544,407057.9,40,528,14-03-2024 12:00
PRD20598,344989.79,45,656,01-01-2024 22:00
PRD61516,487124.52,46,857,24-03-2024 22:00
PRD10959,112663.14,62,594,10-04-2024 00:00
PRD13459,33028.54,59,250,13-09-2024 03:00
PRD58812,427612.31,40,735,21-01-2024 11:00
PRD56442,271799.27,44,209,09-07-2024 13:00
PRD80074,234922.3,42,287,06-07-2024 03:00
PRD35444,6234.76,67,334,24-02-2024 22:00
PRD19616,141070.01,65,713,10-06-2024 15:00
PRD24644,240066.88,56,773,30-07-2024 17:00
PRD21594,393428.41,48,925,04-04-2024 10:00
PRD41270,322357.83,56,892,14-04-2024 01:00
PRD90723,217248.63,54,578,21-09-2024 00:00
PRD82876,292874.12,57,724,06-01-2024 09:00
PRD41075,432947.64,25,123,13-05-2024 22:00
PRD88922,94781.71,72,846,01-05-2024 04:00
PRD51040,141156.66,51,226,01-03-2024 23:00
PRD98027,204104.07,67,892,09-03-2024 17:00
PRD89736,323680,55,946,16-03-2024 08:00
PRD61243,178313.55,68,870,02-04-2024 22:00
PRD65963,107722.92,72,945,08-05-2024 03:00
PRD26352,562043.05,42,994,21-03-2024 09:00
PRD78021,319143.36,29,13,17-09-2024 13:00
PRD17692,544305.3,37,838,26-07-2024 12:00
PRD12997,398059.92,54,1000,14-02-2024 08:00
PRD68688,230289.72,49,307,12-09-2024 00:00
PRD76575,65631.11,58,380,06-07-2024 07:00
PRD20030,29096.41,71,584,07-01-2024 02:00
PRD95079,130214.86,60,512,12-10-2024 11:00
PRD24825,373184.55,48,856,25-10-2024 10:00
PRD64578,429754.59,48,991,20-07-2024 21:00
PRD72296,310066.26,51,709,22-08-2024 20:00
PRD23446,19322.57,76,643,21-04-2024 00:00
PRD40326,280573.23,43,252,09-03-2024 09:00
PRD21744,365395.39,26,2,25-03-2024 06:00
PRD38034,232784.53,62,818,16-07-2024 11:00
PRD91248,301198,44,458,07-03-2024 17:00
PRD46252,434019.16,23,175,10-03-2024 07:00
PRD76636,302773.98,56,966,02-08-2024 18:00
PRD28520,6295.64,77,806,16-02-2024 08:00
PRD18451,297813.85,44,499,26-06-2024 23:00
PRD57080,246111.92,51,381,29-09-2024 18:00
PRD57973,145192.6,63,582,17-05-2024 15:00
PRD83765,39807.74,79,813,25-09-2024 13:00
PRD11609,130125.04,50,231,11-04-2024 08:00
PRD30708,378985.07,55,989,03-10-2024 04:00
PRD53399,164368.43,56,381,15-06-2024 23:00
PRD65209,246200.42,37,14,15-05-2024 22:00
PRD56316,440560.99,23,65,20-08-2024 21:00
PRD12470,261698.81,46,450,18-07-2024 13:00
PRD53941,1103.35,81,883,16-03-2024 16:00
PRD30783,311774.87,37,341,07-07-2024 19:00
PRD97734,570626.44,11,158,29-03-2024 19:00
PRD65791,128829.71,71,983,23-05-2024 03:00
PRD93645,287200.01,66,974,04-05-2024 19:00
PRD73603,578388.6,16,210,21-05-2024 15:00
PRD86115,431707.73,44,621,10-08-2024 00:00
PRD64818,504631.83,19,124,22-07-2024 00:00
