price,discount_percent,inventory_level,rating,review_count,product_id,product_category,customer_region,payment_method,day,month,year,day_of_week,week_of_year,is_weekend,actual_quantity_sold,original_price,static_revenue,rule_price,rule_predicted_quantity,rule_revenue,ml_price,ml_predicted_demand,ml_revenue
358.5,30,25,4.8,135,3741,2,1,0,28,4,2022,3,17,0,5,358.5,1792.5,358.5,5,1792.5,394.35,3.0845253,1216.3825704932215
19.74,10,69,4.8,399,1928,5,1,1,7,1,2023,5,1,1,1,19.74,19.74,19.74,1,19.74,21.714,3.4954908,75.90108700132369
482.69,15,149,4.4,125,445,0,1,3,12,5,2023,4,19,0,5,482.69,2413.45,434.421,5,2172.105,530.9590000000001,3.1058145,1649.0601382422449
458.2,30,99,1.1,109,1887,2,2,2,9,2,2023,3,6,0,3,458.2,1374.6,458.2,3,1374.6,504.02000000000004,2.9056344,1464.4978519153597
34.96,5,17,2.3,442,941,0,1,0,2,1,2022,6,52,1,2,34.96,69.92,38.456,2,76.912,38.456,2.646276,101.76518974685669
303.23,30,94,2.7,201,2973,1,0,3,22,11,2022,1,47,0,3,303.23,909.69,303.23,3,909.69,333.55300000000005,2.810048,937.299975010872
112.7,15,56,2.6,167,3712,1,2,0,17,1,2022,0,3,0,4,112.7,450.8,112.7,4,450.8,123.97000000000001,3.08517,382.4685286927224
159.54,15,30,4.0,264,2825,5,2,3,12,8,2022,4,32,0,1,159.54,159.54,159.54,1,159.54,175.494,3.1072664,545.3066141796112
114.5,15,26,2.3,141,1418,4,1,4,27,9,2023,2,39,0,3,114.5,343.5,114.5,3,343.5,125.95000000000002,2.9703944,374.121171271801
417.26,5,14,1.2,196,3234,4,1,3,5,4,2022,1,14,0,1,417.26,417.26,458.98600000000005,1,458.98600000000005,458.98600000000005,2.7948565,1282.8000276823045
87.95,20,47,3.4,211,2948,0,2,3,20,5,2022,4,20,0,5,87.95,439.75,87.95,5,439.75,96.745,2.9954977,289.7994253301621
491.52,20,13,3.6,419,2367,4,0,0,3,4,2022,6,13,1,3,491.52,1474.56,540.672,3,1622.016,540.672,2.6548672,1435.41234375
310.55,10,58,5.0,388,879,5,2,4,14,9,2023,3,37,0,4,310.55,1242.2,310.55,4,1242.2,341.605,3.0418072,1039.0965399074555
306.54,5,16,1.8,359,167,2,2,0,25,9,2022,6,38,1,4,306.54,1226.16,337.1940000000001,4,1348.7760000000003,337.1940000000001,3.020673,1018.5528238949778
