Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Revenue,Month,DayOfWeek,Rule-Based Price,Rule-Based Revenue,Optimized Price,Optimized Units Pred,ML Revenue,Static Revenue
2023-08-08,S003,P0005,Electronics,West,170,100,182,105.54,69.18,0,Snowy,1,65.73,Autumn,6918.000000000001,8,1,65.721,6572.1,83.016,100.33541,8329.444485534668,6918.000000000001
2023-08-08,S003,P0004,Electronics,South,405,307,142,301.0,77.81,15,Rainy,1,75.41,Summer,23887.67,8,1,79.83306,24508.74942,93.372,302.71304,28264.922270874024,23887.670000000002
2023-08-08,S003,P0003,Groceries,West,320,195,25,191.3,18.29,20,Snowy,1,19.96,Winter,3566.55,8,1,18.29,3566.5499999999997,21.947999999999997,186.90366,4102.161442016601,3566.5499999999997
2023-08-08,S003,P0002,Electronics,South,236,159,160,150.34,82.34,5,Sunny,1,79.04,Winter,13092.06,8,1,78.223,12437.457,98.808,143.89333,14217.811736206057,13092.060000000001
2023-08-08,S003,P0001,Electronics,West,277,141,51,141.41,88.51,10,Cloudy,1,88.42,Winter,12479.91,8,1,88.288725,12448.710225,106.212,139.96939,14866.428942993165,12479.91
2023-08-08,S002,P0020,Toys,South,404,274,55,271.23,21.2,0,Sunny,1,25.07,Winter,5808.8,8,1,24.0408,6587.1792000000005,25.439999999999998,265.15094,6745.439912109375,5808.8
2023-08-08,S002,P0019,Electronics,North,132,82,90,75.2,59.54,0,Sunny,0,56.3,Spring,4882.28,8,1,56.562999999999995,4638.165999999999,71.448,72.26365,5163.093192810058,4882.28
2023-08-08,S002,P0018,Electronics,West,85,28,193,28.25,52.46,5,Sunny,1,48.18,Winter,1468.88,8,1,49.836999999999996,1395.436,62.952,25.583305,1610.5202389526366,1468.88
2023-08-08,S002,P0005,Toys,North,443,91,112,83.93,25.39,15,Snowy,0,22.89,Autumn,2310.49,8,1,24.1205,2194.9655,30.468,79.8608,2433.198906097412,2310.4900000000002
2023-08-08,S002,P0016,Furniture,North,109,59,100,57.82,54.43,5,Cloudy,0,57.27,Winter,3211.37,8,1,57.1515,3371.9384999999997,65.316,53.11275,3469.1124447784423,3211.37
2023-08-08,S002,P0015,Furniture,West,105,12,51,9.74,49.61,15,Snowy,0,49.95,Winter,595.3199999999999,8,1,49.61,595.3199999999999,59.532,10.616769,632.0374824028015,595.3199999999999
2023-08-08,S002,P0014,Groceries,West,478,281,130,288.39,83.29,10,Snowy,0,87.81,Spring,23404.49,8,1,85.45554,24013.00674,99.94800000000001,282.10052,28195.383262939456,23404.49
2023-08-08,S002,P0013,Toys,East,375,356,199,366.92,44.15,20,Cloudy,1,45.04,Spring,15717.4,8,1,47.562795,16932.35502,52.98,361.16974,19134.772760009764,15717.4
2023-08-08,S002,P0012,Groceries,South,499,122,35,123.52,65.8,0,Snowy,0,66.3,Spring,8027.599999999999,8,1,65.8,8027.599999999999,78.96,118.728966,9374.839136352539,8027.599999999999
2023-08-08,S002,P0011,Electronics,West,477,188,162,181.23,40.66,0,Cloudy,1,41.25,Summer,7644.079999999999,8,1,42.693,8026.284,48.791999999999994,174.85408,8531.48028112793,7644.079999999999
2023-08-08,S002,P0010,Electronics,East,278,63,132,59.56,79.24,0,Sunny,1,75.49,Winter,4992.12,8,1,75.27799999999999,4742.513999999999,93.50319999999999,56.367794,5270.569119387817,4992.12
2023-08-08,S002,P0009,Electronics,East,81,12,43,29.89,95.99,15,Cloudy,1,93.77,Spring,1151.88,8,1,117.96403080000002,1415.5683696,115.18799999999999,27.709393,3191.7895087738034,1151.8799999999999
