OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Discount,TotalAmount,City,SellerID
ORD0075722,2022-12-22,CUST006588,P00003,4,298.45,0.05,1144.54,Columbus,SELL01349
ORD0080185,2023-05-12,CUST005827,P00032,2,154.48,0.0,341.31,Jacksonville,SELL00680
ORD0019865,2021-09-08,CUST019087,P00014,3,400.34,0.05,1243.58,Chicago,SELL00556
ORD0076700,2023-03-12,CUST000432,P00034,1,175.53,0.1,175.42,Houston,SELL00299
ORD0092992,2022-09-10,CUST011736,P00016,5,190.37,0.0,1077.22,Charlotte,SELL01625
ORD0076435,2023-11-03,CUST032187,P00029,2,424.7,0.05,851.0,San Diego,SELL00488
ORD0084005,2024-04-11,CUST035153,P00041,1,559.84,0.05,627.85,Jacksonville,SELL00670
ORD0080918,2020-03-21,CUST038251,P00014,2,472.76,0.0,1120.45,Charlotte,SELL00247
ORD0060768,2020-06-02,CUST031537,P00044,5,49.75,0.0,269.29,Denver,SELL01569
ORD0050075,2023-04-18,CUST048050,P00013,3,143.0,0.05,454.76,Phoenix,SELL00630
ORD0027702,2021-07-19,CUST022658,P00040,4,170.81,0.0,752.44,Seattle,SELL00611
ORD0042142,2024-08-23,CUST049749,P00009,4,454.38,0.05,1877.71,Chicago,SELL00234
ORD0045081,2024-11-29,CUST026335,P00021,4,570.85,0.15,2176.73,Chicago,SELL00743
ORD0016639,2024-04-27,CUST019133,P00011,4,506.81,0.0,2277.99,Fort Worth,SELL01111
ORD0020425,2023-01-17,CUST037283,P00041,1,430.91,0.05,439.3,Indianapolis,SELL01767
ORD0088703,2022-05-04,CUST012715,P00028,1,158.95,0.05,178.53,Dallas,SELL00374
ORD0000150,2022-11-22,CUST033670,P00009,3,43.8,0.0,148.14,Columbus,SELL00027
ORD0001762,2020-01-25,CUST029395,P00031,5,490.78,0.1,2482.07,Phoenix,SELL01629
ORD0063121,2020-12-10,CUST022502,P00014,3,34.14,0.0,119.25,San Diego,SELL00121
ORD0069162,2023-12-13,CUST043877,P00044,2,254.46,0.0,614.1,Philadelphia,SELL01258
ORD0064884,2021-03-12,CUST026325,P00009,4,509.2,0.0,2284.71,New York,SELL00948
ORD0002496,2023-07-31,CUST041949,P00003,4,486.39,0.0,2050.99,Chicago,SELL00348
ORD0080297,2023-12-02,CUST014717,P00043,1,274.18,0.0,310.59,San Jose,SELL01276
ORD0019448,2020-07-17,CUST039076,P00022,1,344.13,0.0,364.13,Indianapolis,SELL01739
